ModelName	BaseModelName	MSRP	SalePrice	Weight	Description	DealerComments	Categories	Year	Make	ExteriorColor	BaseDescription	AxleConfiguration	Hitch Type	OpenEnclosed	GVWR	GAWR	Coupler	Safety Chains	Jack	Tongue	TopRail	Frame	Crossmembers	Uprights	Fenders	Axles	Suspension	Tire	Wheel	Floor	Lights	ElectricalPlug	FinishPrep	Finish	StandardFeatures	AvailableOptions
30SA-8	30SA	1150	1150	850	5’ x 8’ Single Axle	This trailer is 8 foot long	Utility Trailer, Light Duty	2019	DV Manufacturing	Black		Single	2" Ball	Open	2995	3500	2" A-Frame	1/4" Grd. 43	2K Top Wind (Bolt On)	3" Channel	1"x2" Tube	2"x3" Angle	2"x3" Angle	2" x 2"Angle	9" x 32" Rolled Formed w/ Back	3500lb Dexter Cambered Axle	Multi-Leaf Spring	205/75R15 Radial Tires	15x5 Gray Spoke (5on5)	2" Douglas Fir (or equal)	DOT Stop, Tail, Turn, & Clearance	4-Way Flat	Primed	Automotive Grade Enamel Paint	LED Lights, 2 year warranty;NATM Certified	4’ Expanded Metal Rampgate, Electric Brakes, Swing Away Jack, Spare Tire, A-Frame Box, Gas Can Holder
30SA-10	30SA	1195	1195	875	5’ x 10’ Single Axle	This trailer is 10 foot long	Utility Trailer, Light Duty	2019	DV Manufacturing	Black		Single	2" Ball	Open	2995	3500	2" A-Frame	1/4" Grd. 43	2K Top Wind (Bolt On)	3" Channel	1"x2" Tube	2"x3" Angle	2"x3" Angle	2" x 2"Angle	9" x 32" Rolled Formed w/ Back	3500lb Dexter Cambered Axle	Multi-Leaf Spring	205/75R15 Radial Tires	15x5 Gray Spoke (5on5)	2" Douglas Fir (or equal)	DOT Stop, Tail, Turn, & Clearance	4-Way Flat	Primed	Automotive Grade Enamel Paint	LED Lights, 2 year warranty;NATM Certified	4’ Expanded Metal Rampgate, Electric Brakes, Swing Away Jack, Spare Tire, A-Frame Box, Gas Can Holder
30SA-12	30SA	1250	1250	900	5’ x 12’ Single Axle	This trailer is 8 foot long	Utility Trailer, Light Duty	2019	DV Manufacturing	Black		Single	2" Ball	Open	2995	3500	2" A-Frame	1/4" Grd. 43	2K Top Wind (Bolt On)	3" Channel	1"x2" Tube	2"x3" Angle	2"x3" Angle	2" x 2"Angle	9" x 32" Rolled Formed w/ Back	3500lb Dexter Cambered Axle	Multi-Leaf Spring	205/75R15 Radial Tires	15x5 Gray Spoke (5on5)	2" Douglas Fir (or equal)	DOT Stop, Tail, Turn, & Clearance	4-Way Flat	Primed	Automotive Grade Enamel Paint	LED Lights, 2 year warranty;NATM Certified	4’ Expanded Metal Rampgate, Electric Brakes, Swing Away Jack, Spare Tire, A-Frame Box, Gas Can Holder
35SA-10	35SA	1295	1295	900	77" x 10’ Single Axle	This is a nice 12 foot trailer	Utility Trailer, Light Duty	2019	DV Manufacturing	Black		Single	2" Ball	Open	2995	3500	2" A-Frame	1/4" Grd. 43	2K Top Wind (Bolt On)	3" Channel	1"x2" Tube	2"x3" Angle	2"x3" Angle	2" x 2"Angle	9" x 32" Rolled Formed w/ Back	3500lb Dexter Cambered Axle	Multi-Leaf Spring	205/75R15 Radial Tires	15x5 Gray Spoke (5on5)	2" Douglas Fir (or equal)	DOT Stop, Tail, Turn, & Clearance	4-Way Flat	Primed	Automotive Grade Enamel Paint	LED Lights, 2 year warranty;NATM Certified	4’ Expanded Metal Rampgate, Electric Brakes, Swing Away Jack, Spare Tire, A-Frame Box, Gas Can Holder
35SA-12	35SA	1425	1425	950	77" x 12’ Single Axle	12 foot trailer	Utility Trailer, Light Duty	2019	DV Manufacturing	Black		Single	2" Ball	Open	2995	3500	2" A-Frame	1/4" Grd. 43	2K Top Wind (Bolt On)	3" Channel	1"x2" Tube	2"x3" Angle	2"x3" Angle	2" x 2"Angle	9" x 32" Rolled Formed w/ Back	3500lb Dexter Cambered Axle	Multi-Leaf Spring	205/75R15 Radial Tires	15x5 Gray Spoke (5on5)	2" Douglas Fir (or equal)	DOT Stop, Tail, Turn, & Clearance	4-Way Flat	Primed	Automotive Grade Enamel Paint	LED Lights, 2 year warranty;NATM Certified	4’ Expanded Metal Rampgate, Electric Brakes, Swing Away Jack, Spare Tire, A-Frame Box, Gas Can Holder
35SA-14	35SA	1475	1475	1000	77" x 14’ Single Axle	This trailer is 14 feet long.	Utility Trailer, Light Duty	2019	DV Manufacturing	Black		Single	2" Ball	Open	2995	3500	2" A-Frame	1/4" Grd. 43	2K Top Wind (Bolt On)	3" Channel	1"x2" Tube	2"x3" Angle	2"x3" Angle	2" x 2"Angle	9" x 32" Rolled Formed w/ Back	3500lb Dexter Cambered Axle	Multi-Leaf Spring	205/75R15 Radial Tires	15x5 Gray Spoke (5on5)	2" Douglas Fir (or equal)	DOT Stop, Tail, Turn, & Clearance	4-Way Flat	Primed	Automotive Grade Enamel Paint	LED Lights, 2 year warranty;NATM Certified	4’ Expanded Metal Rampgate, Electric Brakes, Swing Away Jack, Spare Tire, A-Frame Box, Gas Can Holder
30SV-8	30SV	1995	1995	950	5’ x 8’ Single Axle	This trailer is 8 foot long	Utility Trailer, Landscape	2019	DV Manufacturing	Black		Single	2" Ball	Open	2995	3500	2" A-Frame	1/4" Grd. 43	2K Top Wind (Bolt On)	3" Channel	1"x2" Tube	2"x3" Angle	2"x3" Angle	2" x 2"Angle	9" x 32" Rolled Formed w/ Back	3500lb Dexter Cambered Axle	Multi-Leaf Spring	205/75R15 Radial Tires	15x5 Gray Spoke (5on5)	2" Douglas Fir (or equal)	DOT Stop, Tail, Turn, & Clearance	4-Way Flat	Primed	Automotive Grade Enamel Paint	 4’ Expanded Metal Rampgate, LED Lights, 2 year warranty;NATM Certified	Electric Brakes, Swing Away Jack, Spare Tire, A-Frame Box, Gas Can Holder
30SV-10	30SV	2095	2095	975	5’ x 10’ Single Axle	This trailer is 10 foot long	Utility Trailer, Landscape	2019	DV Manufacturing	Black		Single	2" Ball	Open	2995	3500	2" A-Frame	1/4" Grd. 43	2K Top Wind (Bolt On)	3" Channel	1"x2" Tube	2"x3" Angle	2"x3" Angle	2" x 2"Angle	9" x 32" Rolled Formed w/ Back	3500lb Dexter Cambered Axle	Multi-Leaf Spring	205/75R15 Radial Tires	15x5 Gray Spoke (5on5)	2" Douglas Fir (or equal)	DOT Stop, Tail, Turn, & Clearance	4-Way Flat	Primed	Automotive Grade Enamel Paint	 4’ Expanded Metal Rampgate, LED Lights, 2 year warranty;NATM Certified	Electric Brakes, Swing Away Jack, Spare Tire, A-Frame Box, Gas Can Holder
30SV-12	30SV	2195	2195	1000	5’ x 12’ Single Axle	12 foot trailer.	Utility Trailer, Landscape	2019	DV Manufacturing	Black		Single	2" Ball	Open	2995	3500	2" A-Frame	1/4" Grd. 43	2K Top Wind (Bolt On)	3" Channel	1"x2" Tube	2"x3" Angle	2"x3" Angle	2" x 2"Angle	9" x 32" Rolled Formed w/ Back	3500lb Dexter Cambered Axle	Multi-Leaf Spring	205/75R15 Radial Tires	15x5 Gray Spoke (5on5)	2" Douglas Fir (or equal)	DOT Stop, Tail, Turn, & Clearance	4-Way Flat	Primed	Automotive Grade Enamel Paint	 4’ Expanded Metal Rampgate, LED Lights, 2 year warranty;NATM Certified	Electric Brakes, Swing Away Jack, Spare Tire, A-Frame Box, Gas Can Holder
35SV-10	35SV	2195	2195	1000	77" x 10’ Single Axle	10 foot trailer.	Utility Trailer, Landscape	2019	DV Manufacturing	Black		Single	2" Ball	Open	2995	3500	2" A-Frame	1/4" Grd. 43	2K Top Wind (Bolt On)	3" Channel	1"x2" Tube	2"x3" Angle	2"x3" Angle	2" x 2"Angle	9" x 32" Rolled Formed w/ Back	3500lb Dexter Cambered Axle	Multi-Leaf Spring	205/75R15 Radial Tires	15x5 Gray Spoke (5on5)	2" Douglas Fir (or equal)	DOT Stop, Tail, Turn, & Clearance	4-Way Flat	Primed	Automotive Grade Enamel Paint	 4’ Expanded Metal Rampgate, LED Lights, 2 year warranty;NATM Certified	Electric Brakes, Swing Away Jack, Spare Tire, A-Frame Box, Gas Can Holder
